question_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,r1,r2,s,ground_truth
728bc895-550b-4105-8bf9-b6b8b3774a6f,0.0,0.0,0.0,0.0,2.7630801,2.1173472,0.37445268,2.1931992,2.4981296,1.8576889,0.28337866,1.9247879,1.0,0,0.6931471805599453,5.2612095,0
728bc895-550b-4105-8bf9-b6b8b3774a6f,0.16259152,0.0,0.0,0.0,2.3515296,0.0,0.0,0.0,2.3240738,0.0,0.0,0.0,0.33333334,1,0.4054651081081644,4.838195,0
728bc895-550b-4105-8bf9-b6b8b3774a6f,0.16259152,0.0,0.0,0.0,2.034548,0.0,0.0,0.0,2.0416026,0.0,0.0,0.0,0.33333334,2,0.2876820724517809,4.2387424,0
728bc895-550b-4105-8bf9-b6b8b3774a6f,0.0,0.0,0.0,0.0,2.1104047,0.0,0.0,0.0,2.0134833,0.0,0.0,0.0,0.33333334,3,0.22314355131420976,4.123888,0
728bc895-550b-4105-8bf9-b6b8b3774a6f,0.16104023,0.0,0.0,0.0,1.5477139,0.2766109,0.0,0.41839892,1.6538762,0.23868991,0.0,0.3683247,0.6666667,4,0.18232155679395462,3.3626304,0
728bc895-550b-4105-8bf9-b6b8b3774a6f,0.0,0.0,0.0,0.0,1.7054466,0.0,0.0,0.0,1.5732052,0.0,0.0,0.0,0.33333334,5,0.1541506798272583,3.2786517,0
728bc895-550b-4105-8bf9-b6b8b3774a6f,0.17952004,0.060278516,0.0,0.060278516,1.3479801,0.0,0.0,0.0,1.6529077,0.2676288,0.0,0.2676288,0.6666667,6,0.13353139262452263,3.180408,0
728bc895-550b-4105-8bf9-b6b8b3774a6f,0.16259152,0.0,0.0,0.0,1.3479801,0.0,0.0,0.0,1.483946,0.0,0.0,0.0,0.33333334,7,0.11778303565638346,2.9945176,0
728bc895-550b-4105-8bf9-b6b8b3774a6f,0.2307468,0.16892621,0.014343477,0.16892621,1.0224181,0.11900873,0.0,0.11900873,1.3459909,0.4824875,0.0,0.4824875,1.0,8,0.1053605156578263,2.599156,1
728bc895-550b-4105-8bf9-b6b8b3774a6f,0.0,0.0,0.0,0.0,1.3007416,0.0,0.0,0.0,1.2197045,0.0,0.0,0.0,0.33333334,9,0.09531017980432487,2.520446,0
